rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,rollout/ep_sparseReward_mean,time/episodes,time/time_elapsed,eval/mean_ep_length,eval/mean_reward,train/critic_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/actor_loss,train/ent_coef
228.0,1.31765125,912,736,0.0,4,1,,,,,,,,
204.5,-1.000240625,1636,744,0.0,8,2,,,,,,,,
173.5,-0.3284768333333334,2082,746,0.0,12,2,,,,,,,,
164.125,-2.3332473125,2626,744,0.0,16,3,,,,,,,,
155.4,-4.3838117500000005,3108,747,0.0,20,4,,,,,,,,
184.08333333333334,0.04920008333333362,4418,747,0.0,24,5,,,,,,,,
173.60714285714286,-0.7186959999999997,4861,750,0.0,28,6,,,,,,,,
168.8125,-0.7231005937499997,5402,750,0.0,32,7,,,,,,,,
162.41666666666666,0.9147048055555559,5847,749,0.0,36,7,,,,,,,,
169.2,-0.3320202249999995,6768,751,0.0,40,9,,,,,,,,
161.47727272727272,-0.9877625681818177,7105,752,0.0,44,9,,,,,,,,
165.04166666666666,-2.2010470624999994,7922,754,0.0,48,10,,,,,,,,
157.98076923076923,-2.300650096153846,8215,753,0.0,52,10,,,,,,,,
167.25,-1.677558303571428,9366,751,0.0,56,12,,,,,,,,
,,10000,,,,,1750.0,0.5438671000000002,,,,,,
169.18333333333334,-2.872174066666666,10151,209,0.0,60,48,,,0.2719903886318207,150,0.0003,-0.6032202243804932,-12.97749137878418,0.956222653388977
168.875,-3.8855221249999996,10808,185,0.0,64,58,,,3.6739916801452637,807,0.0003,-3.258700370788574,-23.130935668945312,0.7851218581199646
166.2941176470588,-3.882134985294118,11308,171,0.0,68,65,,,1.0622681379318237,1307,0.0003,-5.260679721832275,-29.989402770996094,0.6757950186729431
164.125,-3.8684859999999994,11817,160,0.0,72,73,,,3.6722898483276367,1816,0.0003,-7.335881233215332,-35.41554260253906,0.5802692174911499
162.27631578947367,-3.0572336578947366,12333,151,0.0,76,81,,,4.205135345458984,2332,0.0003,-9.325763702392578,-39.950965881347656,0.4975206255912781
160.1,-2.8632209749999995,12808,144,0.0,80,88,,,5.38947057723999,2807,0.0003,-10.954899787902832,-43.18825149536133,0.43231213092803955
